Episode: 0 | Steps: 193/10000000 | Avg reward: 3.000000 | loss: 0.000000 | Best: 0.000000
Episode: 10 | Steps: 2239/10000000 | Avg reward: 11.900000 | loss: 0.000000 | Best: 3.000000
Episode: 20 | Steps: 4540/10000000 | Avg reward: 16.600000 | loss: 0.000000 | Best: 11.900000
Episode: 30 | Steps: 6691/10000000 | Avg reward: 14.600000 | loss: 0.000000 | Best: 16.600000
Episode: 40 | Steps: 8526/10000000 | Avg reward: 8.800000 | loss: 0.000000 | Best: 16.600000
Episode: 50 | Steps: 10415/10000000 | Avg reward: 14.100000 | loss: 0.014965 | Best: 16.600000
Episode: 60 | Steps: 12538/10000000 | Avg reward: 14.200000 | loss: 0.011304 | Best: 16.600000
Episode: 70 | Steps: 14981/10000000 | Avg reward: 14.900000 | loss: 0.054657 | Best: 16.600000
Episode: 80 | Steps: 16746/10000000 | Avg reward: 10.800000 | loss: 0.043904 | Best: 16.600000
Episode: 90 | Steps: 18900/10000000 | Avg reward: 16.400000 | loss: 0.067397 | Best: 16.600000
Episode: 100 | Steps: 20715/10000000 | Avg reward: 14.700000 | loss: 0.035659 | Best: 16.600000
Episode: 110 | Steps: 22262/10000000 | Avg reward: 13.000000 | loss: 0.046427 | Best: 16.600000
Episode: 120 | Steps: 23976/10000000 | Avg reward: 17.000000 | loss: 0.037728 | Best: 16.600000
Episode: 130 | Steps: 25618/10000000 | Avg reward: 12.800000 | loss: 0.020697 | Best: 17.000000
Episode: 140 | Steps: 27241/10000000 | Avg reward: 12.900000 | loss: 0.045684 | Best: 17.000000
Episode: 150 | Steps: 28607/10000000 | Avg reward: 9.300000 | loss: 0.050459 | Best: 17.000000
Episode: 160 | Steps: 30500/10000000 | Avg reward: 14.200000 | loss: 0.041701 | Best: 17.000000
Episode: 170 | Steps: 32776/10000000 | Avg reward: 15.700000 | loss: 0.015503 | Best: 17.000000
Episode: 180 | Steps: 35016/10000000 | Avg reward: 13.800000 | loss: 0.050399 | Best: 17.000000
Episode: 190 | Steps: 36867/10000000 | Avg reward: 10.400000 | loss: 0.015546 | Best: 17.000000
Episode: 200 | Steps: 38827/10000000 | Avg reward: 12.600000 | loss: 0.014212 | Best: 17.000000
Episode: 210 | Steps: 41084/10000000 | Avg reward: 16.900000 | loss: 0.016354 | Best: 17.000000
Episode: 220 | Steps: 43242/10000000 | Avg reward: 18.100000 | loss: 0.034652 | Best: 17.000000
Episode: 230 | Steps: 45306/10000000 | Avg reward: 13.400000 | loss: 0.024211 | Best: 18.100000
Episode: 240 | Steps: 47363/10000000 | Avg reward: 16.500000 | loss: 0.039861 | Best: 18.100000
Episode: 250 | Steps: 48973/10000000 | Avg reward: 11.900000 | loss: 0.029254 | Best: 18.100000
Episode: 260 | Steps: 51256/10000000 | Avg reward: 14.200000 | loss: 0.052182 | Best: 18.100000
Episode: 270 | Steps: 52966/10000000 | Avg reward: 14.500000 | loss: 0.021172 | Best: 18.100000
Episode: 280 | Steps: 54611/10000000 | Avg reward: 11.700000 | loss: 0.026092 | Best: 18.100000
Episode: 290 | Steps: 56813/10000000 | Avg reward: 20.900000 | loss: 0.022236 | Best: 18.100000
Episode: 300 | Steps: 58543/10000000 | Avg reward: 11.900000 | loss: 0.009640 | Best: 20.900000
Episode: 310 | Steps: 60698/10000000 | Avg reward: 17.400000 | loss: 0.035234 | Best: 20.900000
Episode: 320 | Steps: 62682/10000000 | Avg reward: 19.600000 | loss: 0.020474 | Best: 20.900000
Episode: 330 | Steps: 64670/10000000 | Avg reward: 18.100000 | loss: 0.022523 | Best: 20.900000
Episode: 340 | Steps: 66147/10000000 | Avg reward: 11.700000 | loss: 0.034490 | Best: 20.900000
Episode: 350 | Steps: 68390/10000000 | Avg reward: 16.800000 | loss: 0.018599 | Best: 20.900000
Episode: 360 | Steps: 70505/10000000 | Avg reward: 19.400000 | loss: 0.002974 | Best: 20.900000
Episode: 370 | Steps: 72501/10000000 | Avg reward: 20.600000 | loss: 0.025452 | Best: 20.900000
Episode: 380 | Steps: 74246/10000000 | Avg reward: 16.600000 | loss: 0.011397 | Best: 20.900000
Episode: 390 | Steps: 76818/10000000 | Avg reward: 23.500000 | loss: 0.033734 | Best: 20.900000
Episode: 400 | Steps: 78495/10000000 | Avg reward: 13.700000 | loss: 0.043224 | Best: 23.500000
Episode: 410 | Steps: 79940/10000000 | Avg reward: 12.600000 | loss: 0.027039 | Best: 23.500000
Episode: 420 | Steps: 81491/10000000 | Avg reward: 17.000000 | loss: 0.025674 | Best: 23.500000
Episode: 430 | Steps: 83833/10000000 | Avg reward: 21.600000 | loss: 0.049124 | Best: 23.500000
Episode: 440 | Steps: 85918/10000000 | Avg reward: 19.400000 | loss: 0.066402 | Best: 23.500000
Episode: 450 | Steps: 87795/10000000 | Avg reward: 19.100000 | loss: 0.032923 | Best: 23.500000
Episode: 460 | Steps: 89413/10000000 | Avg reward: 12.300000 | loss: 0.035740 | Best: 23.500000
Episode: 470 | Steps: 90964/10000000 | Avg reward: 11.500000 | loss: 0.021640 | Best: 23.500000
Episode: 480 | Steps: 93288/10000000 | Avg reward: 19.700000 | loss: 0.006142 | Best: 23.500000
Episode: 490 | Steps: 94647/10000000 | Avg reward: 13.600000 | loss: 0.015568 | Best: 23.500000
Episode: 500 | Steps: 97150/10000000 | Avg reward: 21.600000 | loss: 0.024264 | Best: 23.500000
Episode: 510 | Steps: 99227/10000000 | Avg reward: 17.200000 | loss: 0.016994 | Best: 23.500000
Episode: 520 | Steps: 101410/10000000 | Avg reward: 19.100000 | loss: 0.015660 | Best: 23.500000
Episode: 530 | Steps: 102714/10000000 | Avg reward: 10.400000 | loss: 0.048145 | Best: 23.500000
Episode: 540 | Steps: 104525/10000000 | Avg reward: 15.700000 | loss: 0.011693 | Best: 23.500000
Episode: 550 | Steps: 106235/10000000 | Avg reward: 15.600000 | loss: 0.001414 | Best: 23.500000
Episode: 560 | Steps: 107905/10000000 | Avg reward: 12.600000 | loss: 0.016007 | Best: 23.500000
Episode: 570 | Steps: 109532/10000000 | Avg reward: 13.200000 | loss: 0.012706 | Best: 23.500000
Episode: 580 | Steps: 111092/10000000 | Avg reward: 12.500000 | loss: 0.027399 | Best: 23.500000
Episode: 590 | Steps: 113539/10000000 | Avg reward: 16.000000 | loss: 0.004979 | Best: 23.500000
Episode: 600 | Steps: 115126/10000000 | Avg reward: 10.600000 | loss: 0.017661 | Best: 23.500000
Episode: 610 | Steps: 117368/10000000 | Avg reward: 20.600000 | loss: 0.003766 | Best: 23.500000
Episode: 620 | Steps: 119202/10000000 | Avg reward: 12.100000 | loss: 0.025824 | Best: 23.500000
Episode: 630 | Steps: 121691/10000000 | Avg reward: 16.000000 | loss: 0.004538 | Best: 23.500000
Episode: 640 | Steps: 123795/10000000 | Avg reward: 15.800000 | loss: 0.020189 | Best: 23.500000
Episode: 650 | Steps: 125792/10000000 | Avg reward: 14.400000 | loss: 0.030673 | Best: 23.500000
Episode: 660 | Steps: 128072/10000000 | Avg reward: 19.000000 | loss: 0.014943 | Best: 23.500000
Episode: 670 | Steps: 130979/10000000 | Avg reward: 25.300000 | loss: 0.025648 | Best: 23.500000
Episode: 680 | Steps: 132980/10000000 | Avg reward: 15.900000 | loss: 0.020666 | Best: 25.300000
Episode: 690 | Steps: 134788/10000000 | Avg reward: 12.400000 | loss: 0.033404 | Best: 25.300000
Episode: 700 | Steps: 137325/10000000 | Avg reward: 19.400000 | loss: 0.016370 | Best: 25.300000
Episode: 710 | Steps: 139140/10000000 | Avg reward: 14.600000 | loss: 0.028992 | Best: 25.300000
Episode: 720 | Steps: 141309/10000000 | Avg reward: 14.200000 | loss: 0.003708 | Best: 25.300000
Episode: 730 | Steps: 143237/10000000 | Avg reward: 17.300000 | loss: 0.018082 | Best: 25.300000
Episode: 740 | Steps: 145574/10000000 | Avg reward: 17.500000 | loss: 0.023694 | Best: 25.300000
Episode: 750 | Steps: 147494/10000000 | Avg reward: 13.300000 | loss: 0.003017 | Best: 25.300000
Episode: 760 | Steps: 150113/10000000 | Avg reward: 20.600000 | loss: 0.026487 | Best: 25.300000
Episode: 770 | Steps: 152424/10000000 | Avg reward: 15.200000 | loss: 0.013050 | Best: 25.300000
Episode: 780 | Steps: 154585/10000000 | Avg reward: 16.600000 | loss: 0.005804 | Best: 25.300000
Episode: 790 | Steps: 156813/10000000 | Avg reward: 18.000000 | loss: 0.025981 | Best: 25.300000
