Episode: 0 | Steps: 2364/10000000 | Avg reward: -0.400000 | loss: 0.000000 | Best: 0.000000
Episode: 10 | Steps: 25936/10000000 | Avg reward: -14.200000 | loss: 0.015132 | Best: 0.000000
Episode: 20 | Steps: 49648/10000000 | Avg reward: -4.900000 | loss: 0.023652 | Best: 0.000000
Episode: 30 | Steps: 73368/10000000 | Avg reward: 2.200000 | loss: 0.065121 | Best: 0.000000
Episode: 40 | Steps: 97060/10000000 | Avg reward: 2.000000 | loss: 0.022722 | Best: 2.200000
Episode: 50 | Steps: 120711/10000000 | Avg reward: 0.800000 | loss: 0.012327 | Best: 2.200000
Episode: 60 | Steps: 144449/10000000 | Avg reward: 6.900000 | loss: 0.014777 | Best: 2.200000
Episode: 70 | Steps: 168018/10000000 | Avg reward: 4.500000 | loss: 0.015018 | Best: 6.900000
Episode: 80 | Steps: 191634/10000000 | Avg reward: 7.800000 | loss: 0.017457 | Best: 6.900000
Episode: 90 | Steps: 215293/10000000 | Avg reward: 7.600000 | loss: 0.039865 | Best: 7.800000
Episode: 100 | Steps: 238862/10000000 | Avg reward: 8.500000 | loss: 0.089948 | Best: 7.800000
Episode: 110 | Steps: 262461/10000000 | Avg reward: 13.100000 | loss: 0.024671 | Best: 8.500000
Episode: 120 | Steps: 286084/10000000 | Avg reward: 11.500000 | loss: 0.096949 | Best: 13.100000
Episode: 130 | Steps: 309706/10000000 | Avg reward: 9.500000 | loss: 0.023455 | Best: 13.100000
Episode: 140 | Steps: 333397/10000000 | Avg reward: 4.800000 | loss: 0.046021 | Best: 13.100000
Episode: 150 | Steps: 356981/10000000 | Avg reward: 12.000000 | loss: 0.021754 | Best: 13.100000
Episode: 160 | Steps: 380583/10000000 | Avg reward: 8.200000 | loss: 0.012222 | Best: 13.100000
Episode: 170 | Steps: 404313/10000000 | Avg reward: 9.100000 | loss: 0.028174 | Best: 13.100000
Episode: 180 | Steps: 427968/10000000 | Avg reward: 13.200000 | loss: 0.024227 | Best: 13.100000
Episode: 190 | Steps: 451466/10000000 | Avg reward: 16.500000 | loss: 0.050728 | Best: 13.200000
Episode: 200 | Steps: 475148/10000000 | Avg reward: 14.100000 | loss: 0.050587 | Best: 16.500000
Episode: 210 | Steps: 498584/10000000 | Avg reward: 13.200000 | loss: 0.055251 | Best: 16.500000
Episode: 220 | Steps: 522290/10000000 | Avg reward: 10.400000 | loss: 0.015952 | Best: 16.500000
Episode: 230 | Steps: 545821/10000000 | Avg reward: 16.600000 | loss: 0.048364 | Best: 16.500000
Episode: 240 | Steps: 568858/10000000 | Avg reward: 12.600000 | loss: 0.042673 | Best: 16.600000
Episode: 250 | Steps: 592148/10000000 | Avg reward: 16.700000 | loss: 0.011560 | Best: 16.600000
Episode: 260 | Steps: 615826/10000000 | Avg reward: 12.900000 | loss: 0.041919 | Best: 16.700000
