Epochs: 0/100000 | Avg reward: -219.863839 | Best reward: -100000000.000000
Epochs: 10/100000 | Avg reward: -211.547063 | Best reward: -211.972501
Epochs: 20/100000 | Avg reward: -157.599567 | Best reward: -166.337892
Epochs: 30/100000 | Avg reward: -194.093991 | Best reward: -157.599567
Epochs: 40/100000 | Avg reward: -216.492877 | Best reward: -157.599567
Epochs: 50/100000 | Avg reward: -295.822654 | Best reward: -157.599567
Epochs: 60/100000 | Avg reward: -225.456751 | Best reward: -157.599567
Epochs: 70/100000 | Avg reward: -233.779245 | Best reward: -157.599567
Epochs: 80/100000 | Avg reward: -203.865341 | Best reward: -157.599567
Epochs: 90/100000 | Avg reward: -248.907844 | Best reward: -157.599567
Epochs: 100/100000 | Avg reward: -212.875441 | Best reward: -157.599567
Epochs: 110/100000 | Avg reward: -183.469502 | Best reward: -157.599567
Epochs: 120/100000 | Avg reward: -160.868924 | Best reward: -126.939083
Epochs: 130/100000 | Avg reward: -165.668310 | Best reward: -126.939083
Epochs: 140/100000 | Avg reward: -148.904260 | Best reward: -126.939083
Epochs: 150/100000 | Avg reward: -139.098594 | Best reward: -123.148493
Epochs: 160/100000 | Avg reward: -130.583660 | Best reward: -123.148493
Epochs: 170/100000 | Avg reward: -137.686826 | Best reward: -123.148493
Epochs: 180/100000 | Avg reward: -169.490270 | Best reward: -123.148493
Epochs: 190/100000 | Avg reward: -155.797202 | Best reward: -123.148493
Epochs: 200/100000 | Avg reward: -147.985476 | Best reward: -123.148493
Epochs: 210/100000 | Avg reward: -134.036499 | Best reward: -123.148493
Epochs: 220/100000 | Avg reward: -151.019078 | Best reward: -123.148493
Epochs: 230/100000 | Avg reward: -159.177599 | Best reward: -123.148493
Epochs: 240/100000 | Avg reward: -146.583795 | Best reward: -123.148493
Epochs: 250/100000 | Avg reward: -193.725592 | Best reward: -123.148493
Epochs: 260/100000 | Avg reward: -197.824331 | Best reward: -123.148493
Epochs: 270/100000 | Avg reward: -154.096797 | Best reward: -123.148493
Epochs: 280/100000 | Avg reward: -147.117543 | Best reward: -123.148493
Epochs: 290/100000 | Avg reward: -153.865399 | Best reward: -123.148493
Epochs: 300/100000 | Avg reward: -152.643814 | Best reward: -123.148493
Epochs: 310/100000 | Avg reward: -123.927441 | Best reward: -116.560310
Epochs: 320/100000 | Avg reward: -153.861531 | Best reward: -116.560310
Epochs: 330/100000 | Avg reward: -148.240152 | Best reward: -116.560310
Epochs: 340/100000 | Avg reward: -155.294696 | Best reward: -116.560310
Epochs: 350/100000 | Avg reward: -146.387958 | Best reward: -116.560310
Epochs: 360/100000 | Avg reward: -144.541950 | Best reward: -116.560310
Epochs: 370/100000 | Avg reward: -126.846393 | Best reward: -116.560310
Epochs: 380/100000 | Avg reward: -115.778226 | Best reward: -113.720780
Epochs: 390/100000 | Avg reward: -119.612723 | Best reward: -111.920710
Epochs: 400/100000 | Avg reward: -123.019462 | Best reward: -111.920710
Epochs: 410/100000 | Avg reward: -165.220982 | Best reward: -111.920710
Epochs: 420/100000 | Avg reward: -159.368819 | Best reward: -111.920710
Epochs: 430/100000 | Avg reward: -134.404894 | Best reward: -111.920710
Epochs: 440/100000 | Avg reward: -141.281670 | Best reward: -111.920710
Epochs: 450/100000 | Avg reward: -141.945761 | Best reward: -111.920710
Epochs: 460/100000 | Avg reward: -129.720054 | Best reward: -111.920710
Epochs: 470/100000 | Avg reward: -144.971296 | Best reward: -111.920710
Epochs: 480/100000 | Avg reward: -136.326672 | Best reward: -111.920710
Epochs: 490/100000 | Avg reward: -147.033388 | Best reward: -111.920710
Epochs: 500/100000 | Avg reward: -135.202585 | Best reward: -111.920710
Epochs: 510/100000 | Avg reward: -123.994199 | Best reward: -111.920710
Epochs: 520/100000 | Avg reward: -137.061863 | Best reward: -111.920710
Epochs: 530/100000 | Avg reward: -125.348519 | Best reward: -111.920710
Epochs: 540/100000 | Avg reward: -110.021925 | Best reward: -105.181737
Epochs: 550/100000 | Avg reward: -111.999955 | Best reward: -105.181737
Epochs: 560/100000 | Avg reward: -116.746333 | Best reward: -105.181737
Epochs: 570/100000 | Avg reward: -127.635749 | Best reward: -105.181737
Epochs: 580/100000 | Avg reward: -137.927707 | Best reward: -105.181737
Epochs: 590/100000 | Avg reward: -116.947499 | Best reward: -104.876261
Epochs: 600/100000 | Avg reward: -127.830331 | Best reward: -104.876261
Epochs: 610/100000 | Avg reward: -113.671022 | Best reward: -104.876261
Epochs: 620/100000 | Avg reward: -133.832210 | Best reward: -104.876261
Epochs: 630/100000 | Avg reward: -140.747773 | Best reward: -104.876261
Epochs: 640/100000 | Avg reward: -138.042288 | Best reward: -104.876261
Epochs: 650/100000 | Avg reward: -144.390865 | Best reward: -104.876261
Epochs: 660/100000 | Avg reward: -123.381884 | Best reward: -104.876261
Epochs: 670/100000 | Avg reward: -127.016811 | Best reward: -104.876261
